Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:86(opengroup)
       52    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:81(csr_write)
   171977    0.453    0.000    0.683    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:2(decode_I_type)
    10474    0.021    0.000    0.041    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:11(decode_J_type)
       46    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF951DA48F0}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\threading.py:124(RLock)
    59705    0.125    0.000    0.218    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:34(decode_S_type)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:361(_fix_result_transcoding)
   237779    0.380    0.000    0.814    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:10(write_single)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:216(_compile_charset)
   334105    1.049    0.000    1.117    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:114(get_instruction)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:322(CDLL)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
       36    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       88    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\_compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:825(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:14(Instruction)
       11    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:479(lru_cache)
        6    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\_compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\_path\glob.py:1(<module>)
       14    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:145(_check_size)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\config_linux.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:494(_encodeFilenameFlags)
       25    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:474(_prefix_from_prefix_string)
       96    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:66(csr_read)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1182(_ZipWriteFile)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
